! Spherical Harmonic Discrete Ordinate Radiative Transfer Output
!  L= 11  M= 11  NLM=   78   NMU= 12  NPHI= 24  NANG=  114   NSH=    150529
!  NX=  64   NY=   1   NZ=  30    NPTS=    3867   NCELLS=    5040
!  PROPERTY_FILE=les2y21w16.prp                  
!  CORRELATED_K-DIST_FILE=NONE                               NUM_G= 1
!  INPUT_SAVE_FILE=NONE                            
!  OUTPUT_SAVE_FILE=NONE                            
!  SOURCE_TYPE=SOLAR               DELTA-M METHOD
!  GRID_TYPE=EVEN (X,Y)    PROPERTY-FILE (Z)    INDEPENDENT_PIXEL=2
!  SURFACE_TYPE=FIXED LAMBERTIAN       HORIZ_BOUNDARY_COND=0
!  GROUND_ALBEDO=0.0400000  SKY_RAD= 0.00000E+00
!  SOLAR_FLUX= 0.100000E+01   SOLAR_MU=-0.5000000   SOLAR_AZ=   0.000
!  UNITS=WATTS/(M^2 MICRON STER)    WAVELENGTH=      1.65
!  SPLITTING_ACCURACY= 0.300E-01   SPHERICAL_HARMONIC_ACCURACY= 0.300E-02
!  SOLUTION_ACCURACY= 0.100E-03
!  MAXIMUM_ITERATIONS= 100   NUMBER_ITERATIONS=  24
!  OUTPUT_TYPE=MEDIUM-PROPERTIES   
!    X       Y       Z      Extinct  Albedo  Asymmetry Temp
   0.440   0.000   0.725  17.931171 0.989310  0.74296  281.50
   0.440   0.000   0.750   0.000000 0.000000  0.00000  281.70
   0.440   0.000   0.775   0.000000 0.000000  0.00000  283.90
   0.440   0.000   0.800   0.000000 0.000000  0.00000  286.20
   0.440   0.000   0.825   0.000000 0.000000  0.00000  286.90
   0.440   0.000   0.850   0.000000 0.000000  0.00000  288.00
   0.440   0.000   0.900   0.000000 0.000000  0.00000  289.00
   0.440   0.000   0.950   0.000000 0.000000  0.00000  289.50
   0.440   0.000   1.000   0.000000 0.000000  0.00000  290.00
   0.495   0.000   0.000   0.000000 0.000000  0.00000  288.00
   0.495   0.000   0.050   0.000000 0.000000  0.00000  287.50
   0.495   0.000   0.100   0.000000 0.000000  0.00000  287.00
   0.495   0.000   0.150   0.000000 0.000000  0.00000  286.50
   0.495   0.000   0.200   0.000000 0.000000  0.00000  286.00
   0.495   0.000   0.250   0.000000 0.000000  0.00000  285.50
   0.495   0.000   0.300   0.000000 0.000000  0.00000  285.50
   0.495   0.000   0.350   0.000000 0.000000  0.00000  284.50
   0.495   0.000   0.400   0.000000 0.000000  0.00000  284.00
   0.495   0.000   0.425   0.000000 0.000000  0.00000  283.60
   0.495   0.000   0.450   0.000000 0.000000  0.00000  283.40
   0.495   0.000   0.475   0.000000 0.000000  0.00000  283.20
   0.495   0.000   0.500   0.000000 0.000000  0.00000  282.90
   0.495   0.000   0.525   0.000000 0.000000  0.00000  282.70
   0.495   0.000   0.550   0.000000 0.000000  0.00000  282.50
   0.495   0.000   0.575   0.000000 0.000000  0.00000  282.30
   0.495   0.000   0.600   0.000000 0.000000  0.00000  282.10
   0.495   0.000   0.625   5.920812 0.995094  0.72442  282.00
   0.495   0.000   0.650  14.420626 0.990745  0.74088  281.80
   0.495   0.000   0.675  19.342068 0.988803  0.74356  281.70
   0.495   0.000   0.700  22.025663 0.987885  0.74472  281.60
   0.495   0.000   0.725  18.525070 0.989029  0.74356  281.50
   0.495   0.000   0.750   0.000000 0.000000  0.00000  281.70
   0.495   0.000   0.775   0.000000 0.000000  0.00000  283.90
   0.495   0.000   0.800   0.000000 0.000000  0.00000  286.20
   0.495   0.000   0.825   0.000000 0.000000  0.00000  286.90
   0.495   0.000   0.850   0.000000 0.000000  0.00000  288.00
   0.495   0.000   0.900   0.000000 0.000000  0.00000  289.00
   0.495   0.000   0.950   0.000000 0.000000  0.00000  289.50
   0.495   0.000   1.000   0.000000 0.000000  0.00000  290.00
   0.550   0.000   0.000   0.000000 0.000000  0.00000  288.00
   0.550   0.000   0.050   0.000000 0.000000  0.00000  287.50
   0.550   0.000   0.100   0.000000 0.000000  0.00000  287.00
   0.550   0.000   0.150   0.000000 0.000000  0.00000  286.50
   0.550   0.000   0.200   0.000000 0.000000  0.00000  286.00
   0.550   0.000   0.250   0.000000 0.000000  0.00000  285.50
   0.550   0.000   0.300   0.000000 0.000000  0.00000  285.50
   0.550   0.000   0.350   0.000000 0.000000  0.00000  284.50
   0.550   0.000   0.400   0.000000 0.000000  0.00000  284.00
   0.550   0.000   0.425   0.000000 0.000000  0.00000  283.60
   0.550   0.000   0.450   0.000000 0.000000  0.00000  283.40
   0.550   0.000   0.475   0.000000 0.000000  0.00000  283.20
   0.550   0.000   0.500   0.000000 0.000000  0.00000  282.90
   0.550   0.000   0.525   0.000000 0.000000  0.00000  282.70
   0.550   0.000   0.550   0.000000 0.000000  0.00000  282.50
   0.550   0.000   0.575   0.000000 0.000000  0.00000  282.30
   0.550   0.000   0.600   0.000000 0.000000  0.00000  282.10
   0.550   0.000   0.625   0.000000 0.000000  0.00000  282.00
   0.550   0.000   0.650   0.000000 0.000000  0.00000  281.80
   0.550   0.000   0.675  11.872183 0.991882  0.73894  281.70
   0.550   0.000   0.700  16.888090 0.989732  0.74232  281.60
   0.550   0.000   0.725  20.783985 0.988310  0.74415  281.50
   0.550   0.000   0.750   0.000000 0.000000  0.00000  281.70
   0.550   0.000   0.775   0.000000 0.000000  0.00000  283.90
   0.550   0.000   0.800   0.000000 0.000000  0.00000  286.20
   0.550   0.000   0.825   0.000000 0.000000  0.00000  286.90
   0.550   0.000   0.850   0.000000 0.000000  0.00000  288.00
   0.550   0.000   0.900   0.000000 0.000000  0.00000  289.00
   0.550   0.000   0.950   0.000000 0.000000  0.00000  289.50
   0.550   0.000   1.000   0.000000 0.000000  0.00000  290.00
   0.605   0.000   0.000   0.000000 0.000000  0.00000  288.00
   0.605   0.000   0.050   0.000000 0.000000  0.00000  287.50
   0.605   0.000   0.100   0.000000 0.000000  0.00000  287.00
   0.605   0.000   0.150   0.000000 0.000000  0.00000  286.50
